playlist_id	playlist_name	description	num_tracks	num_followers
37i9dQZF1DWVPJN9etkrEa	This Is Green Day	Welcome to Paradise, Green Day fans!	50	731238
37i9dQZF1DXbj9Ksq4BAdj	This Is Green Day	The best of Metallica, all in one playlist.	60	1258197
37i9dQZF1DXcGV9sg8bMdx	This Is Metallica	Jane says these are the essentials.	66	22244
37i9dQZF1DWXupFIUw7TOC	This Is Metallica	The essential tracks, all in one playlist. Celebrating 25 years of the iconic "(What's The Story) Morning Glory?"	52	671871
37i9dQZF1DX5L9gRaHajqj	This Is Jane's Addiction	The essential KISS, all in one place.	50	250364
37i9dQZF1DWY6vTWIdZ54A	This Is Jane's Addiction	Get down and dirty with these bluesy rock songs. Cover: Royal Blood	135	354304
37i9dQZF1DX5OUjSS1OMgV	This Is Oasis	Rock this list to help you rock that last rep. Gainz.	100	518299
37i9dQZF1DX1rVvRgjX59F	This Is Oasis	These songs rocked the 90s. Cover: Nirvana	150	4045474
37i9dQZF1DX6ALfRKlHn1t	This Is KISS	Drink up these tunes and all the feels. Good vibes only.	125	830383
37i9dQZF1DXa9xHlDa5fc6	This Is KISS	Chill out with these awesome alt songs.	145	281732
37i9dQZF1DX2aneNMeYHQ8	Dirty Rock	The best in alt, folk, and indie rock. Cover: KALEO	121	418510
37i9dQZF1DWXs1L3AC0Xio	Dirty Rock	Chill out with these awesome rock ballads. Cover: <a href="spotify:artist:6Wr3hh341P84m3EI8qdn9O">Rise Against</a>	75	523160
37i9dQZF1DXa6YOhGMjjgx	One More Rep	This is the best of today's true alternative rock scene.	150	417561
37i9dQZF1DXcfZ6moR6J0G	One More Rep	All hail the eyebrow ring. Cover: Limp Bizkit	60	902625
37i9dQZF1DWXMg4uP5o3dm	90s Rock Anthems	Alternative meets electronic. Cover: NOISY	125	340809
37i9dQZF1DX2S9rTKTX6JP	90s Rock Anthems	Sometimes a cover can be even better than the original. You decide. Cover: Chris Cornell	100	508454
37i9dQZF1DX6ujZpAN0v9r	Soak Up the Sun	The essential beautiful noise: sweet and sour fuzz to warm your heart. Cover: Slowdive	129	273724
37i9dQZF1DX0wiundViT27	Soak Up the Sun	A dose of high energy, feel-good rock tunes. Press play and let the good vibes come your way.	97	583677
37i9dQZF1DX9Mqxt6NLTDY	License To Chill	Post-hardcore. Post-punk. Post-rock. Post-everything. Cover: Metz	100	111526
37i9dQZF1DX9wa6XirBPv8	License To Chill	All the standard emo anthems. Cover: Gerard Way	80	924656
37i9dQZF1DXaGNG7NmtmZv	Rockin' Vibes	Classic songs from the legends of the hardcore scene.	50	121349
37i9dQZF1DWZjmJmeiazwd	Rockin' Vibes	Rock out while you game, this is 10+ hours of the best in Rock.	150	379277
37i9dQZF1DX8S0uQvJ4gaa	Rock Ballads	New Music Discovery is what we're about.  Try it on for size. Cover: Russell Dickerson	66	719628
37i9dQZF1DX5mB2C8gBeUM	Rock Ballads	Country gone wild! You never know what you're gonna get.  Artist: Kalie Shorr	70	791912
37i9dQZF1DWYnwbYQ5HnZU	Totally Alt	Spotify Fan Favorites from the last few years.  Artist: Carly Pearce	61	1589928
37i9dQZF1DX3Ee0ngF5ZVQ	Totally Alt	From the Dance Halls and Honky Tonks across America to the World!  Hear tracks from Koe Wetzel's new album "Sellout". Cover: Koe Wetzel	52	334633
37i9dQZF1DWYiR2Uqcon0X	Nu Metal Generation	The Country Coffeehouse is open! Grab a cup and lean back to some low-key country.	74	584285
37i9dQZF1DWW7RgkOJG32Y	Nu Metal Generation	Top trending new and recent tracks from the last few weeks.  Cover: Chase Rice & Florida Georgia Line	61	177764
37i9dQZF1DX8WMG8VPSOJC	Alternative Beats	Nothing but beautiful country love songs.	50	1379195
37i9dQZF1DWXi7h4mmmkzD	Alternative Beats	Nighttime is the right time for a Kelsea Ballerini Takeover!	91	500663
37i9dQZF1DWTkxQvqMy4WW	Rock Covers	Country music to get you back to the basics.	80	2522518
37i9dQZF1DWU2LcZVHsTdv	Rock Covers	The country way of testifying.  Cover: Brad Paisley	75	204912
37i9dQZF1DWU1xHgjMaSpW	Shoegaze Classics	All Mighty Merle...All The Time!	85	45329
37i9dQZF1DX1kw8OX1mNoI	Shoegaze Classics	Celebrating the 50th Anniversary of the release of the iconic album "Folsom Prison Blues".	76	451274
64FJj5HaUHR6KrKSsU8KPx	Rock Me UP!	The Number 1's, B-Side hits and some that weren't. The Johnny Cash singles from the beginning of his career to his last recordings. In Celebration of Cash's 85 Birthday!	151	84019
37i9dQZF1DWVpjAJGB70vU	Rock Me UP!	Country that made Country Cool! Cover:  Shania Twain	64	832241
37i9dQZF1DX24Kh15JFQJ0	All Things Post	The latest music from our Country Heroes. Cover: Collin Raye	75	214825
37i9dQZF1DXbDjX0hus3Iu	All Things Post	The early pioneers and current favorites in Southern Rock.  Cover:  The Godfather...Charlie Daniels.	106	360798
37i9dQZF1DXc0fQ4sGOnVJ	Emo Forever	Country rap songs, made to be cranked up.  Hear tracks from Colt's latest release "We The People, Vol. 1."  Cover: Colt Ford	54	135988
0NfjMqrzcGKVsbYZmhf4Md	Emo Forever	All songs about drinking, cheating, heartaches and everything else going on in a classic honky tonk.	50	3265
37i9dQZF1DWWH0izG4erma	Classic Hardcore	Country Music that ROCKS!!   Cover:  Chris Stapleton	77	315098
37i9dQZF1DWUzFXarNiofw	Classic Hardcore	The newest, freshest R&B tunes.  Cover: Masego	49	742263
37i9dQZF1DX4y8h9WqDPAE	Ultimate Rock Gaming	Where R&B from around the world comes to play with hip-hop & pop!   Cover: THEY.	50	1642315
37i9dQZF1DWXnexX7CktaI	Ultimate Rock Gaming	All the jams. Cover: Toni Braxton	40	1626531
37i9dQZF1DWSfMe9z89s9B	New Boots	These progressive R&B and soul tracks can't be put in a box. Cover: Hope Tala	100	903784
37i9dQZF1DX2UgsUIg75Vg	New Boots	Chilled R&B jams for your most relaxed moods.	50	2053587
37i9dQZF1DX2Ma8k80RiMN	Wild Country	Come inside The Sweet Suite and get in the mood with some amazing R&B ballads from the past and present.	40	1264122
37i9dQZF1DWY12BqhkMFW2	Wild Country	Revive your soul with this playlist, featuring updated takes on classic R&B and soul tunes.	35	217014
37i9dQZF1DX62Nfha2yFhL	Country Gold	Whether you're lounging at home or out with your friends, let this playlist provide your soundtrack.	50	710331
37i9dQZF1DWVEvzGeX3eRs	Country Gold	What we're gonna do right now is go back—back in time. Here are all your favorite '90s R&B slow jams!	47	1165302
37i9dQZF1DWTJNOeepZTGy	Wine & Dine	As you prepare and settle into your romantic dinner, let us provide the soundtrack with these RnB/Soul love songs.	51	216898
37i9dQZF1DX7OIddoQVdRt	Wine & Dine	Experience the powerful messages and sounds of these gospel tunes.	40	539468
37i9dQZF1DX70TzPK5buVf	Spread the Gospel	Funk to these good ol' funky soul classics!	80	650355
37i9dQZF1DX6VDO8a6cQME	Spread the Gospel	The '90s had an amazing soundtrack. Let's reminisce with these R&B jams!	45	2443506
37i9dQZF1DX0H8hDpv38Ju	Funk Outta Here	Get down and jam out to these throwback '80s R&B tunes!	40	513164
37i9dQZF1DWYmmr74INQlb	Funk Outta Here	Check out these throwback R&B jams from the first decade of the 21st century. Cover: Mariah Carey	40	3275340
37i9dQZF1DWSIO2QWRavWZ	I Love My '90s R&B	Curated by Burna Boy's Queens behind the scenes, his mom & sister.	25	106000
37i9dQZF1DWSRMdeGCgprt	I Love My '90s R&B	Get into the rhythm of SXSW '17 with this collection of tracks from artists set to perform this year. Cover: <a href="spotify:artist:4TsHKU8l8Wq7n7OPVikirn">Jidenna</a>.	23	24379
37i9dQZF1DX8tZsk68tuDw	’80s Jam Session	Tomorrow's <a href="spotify:genre:edm_dance">dance</a> hits, with Route 94 & L Devine	150	1933772
37i9dQZF1DXcZDD7cfEKhW	’80s Jam Session	Remixed pop and <a href="spotify:genre:edm_dance">dance</a> collabs, with SUGA and MAX.	50	3213388
37i9dQZF1DX0BcQWzuB7ZO	I Love My '00s R&B	All the <a href="spotify:genre:edm_dance">big ones</a> with Joel Corry & MNEK	81	3120372
37i9dQZF1DXa8NOEUWPn9W	I Love My '00s R&B	<a href="spotify:genre:house">House</a> music lives here. United in one house. Cover: Chris Lake & Armand Van Helden	120	1483429
37i9dQZF1DXa41CMuUARjl	Queen	This week's handpicked new <a href="spotify:genre:edm_dance">dance and electronic music</a>, with Anabel Englund.	129	315190
37i9dQZF1DX0hvSv9Rf41p	Queen	All things <a href="spotify:genre:bass">bass</a> with Bear Grillz, Riot Ten, and Bok Nero.	90	827805
37i9dQZF1DWXLeA8Omikj7	The Rhythm	<a href="spotify:genre:space:electronica_chill">Hypnotic electronic</a> for studies and a relax.	100	3493043
37i9dQZF1DX0r3x8OtiwEM	The Rhythm	Chill techno and tech house.	60	504466
37i9dQZF1DX6VdMW310YC7	Dance Rising	Softer kinda <a href="spotify:genre:edm_dance">dance</a>.	303	3009600
37i9dQZF1DX8a1tdzq5tbM	Dance Rising	<a href="spotify:genre:edm_dance">Dance radio</a> hits from the 90s and 00s!	120	1048635
37i9dQZF1DX5GiUwx1edLZ	Pop Remix	<a href="https://open.spotify.com/genre/edm_dance">Dance music</a> unplugged.	100	268848
37i9dQZF1DXdgz8ZB7c2CP	Pop Remix	Melodic future bass, warm vocal drizzle, and dreamy <a href="spotify:genre:edm_dance">dance music</a>. Featuring San Holo.	100	646891
37i9dQZF1DXaXB8fQg7xif	Dance Hits	<a href="spotify:genre:edm_dance">Move</a> your feet!	100	4380252
37i9dQZF1DX2TRYkJECvfC	Dance Hits	Forget it and disappear with chill <a href="spotify:genre:edm_dance">house</a>.	200	2115056
37i9dQZF1DX32NsLKyzScr	Housewerk	Tap it back or go for a spin with these uptempo tracks!	212	2064049
37i9dQZF1DWTfrr8pte1rT	Housewerk	Emo and screamo with <a href="spotify:genre:edm_dance">an electronic twist</a>. Cover: Kayzo	71	153074
37i9dQZF1DX0pH2SQMRXnC	Friday Cratediggers	Only the biggest Hardstyle	200	717584
37i9dQZF1DWSf2RDTDayIx	Friday Cratediggers	Feel-good <a href="spotify:genre:edm_dance">dance music</a>!	101	1402241
37i9dQZF1DX4eRPd9frC1m	Bass Arcade	Aggressive trap and bass for the <a href="spotify:genre:edm_dance">gym</a>.	181	2053710
37i9dQZF1DX8CopunbDxgW	Bass Arcade	Indie <a href="spotify:genre:edm_dance">dance </a>tunes, featuring Channel Tres	72	681262
37i9dQZF1DWVY4eLfA3XFQ	Brain Food	Tech house technicians ft. Kevin McKay	100	483864
37i9dQZF1DX6GJXiuZRisr	Brain Food	Dark & moody progressive house <a href="spotify:genre:edm_dance">& electronic</a> on the late night highway.	380	1037108
37i9dQZF1DX2pprEpa9URZ	Lowkey Tech	This is a deep tribal sound, combining electronic elements and organic instrumentation, stemming from the folk music of Africa, Latin America, and the Middle East.	60	445052
37i9dQZF1DX3ND264N08pv	Lowkey Tech	The absolute hardest <a href="spotify:genre:edm_dance">electronic tracks</a> :o	100	253191
37i9dQZF1DX1tW4VlEfDSS	Chill Tracks	A feel-good soulful house  and disco selection.	100	262049
37i9dQZF1DWUq3wF0JVtEy	Chill Tracks	<a href="spotify:genre:edm_dance">Shuffle</a> your heart out. Featuring new music from Alison Wonderland and Valentino Khan.	126	732330
37i9dQZF1DWYzMfRQj22Nd	Dance Classics	Taking the big steps with <a href="spotify:genre:edm_dance">Drum</a> & Bass.	228	263841
37i9dQZF1DX91oIci4su1D	Dance Classics	Setting sights on banging <a href="spotify:genre:trance_progressive">trance and progressive</a> with i_o	165	581654
37i9dQZF1DX1OIMC8iDi74	mint Acoustic	A cocktail of <a href="spotify:genre:edm_dance">electronic</a> trap and trap-influenced tracks.	100	805256
37i9dQZF1DWSrVdvTl1tVY	mint Acoustic	Celebrating the biggest UK house bangers. Updated regularly. Cover: Michael Bibi	74	672728
37i9dQZF1DWSRc3WJklgBs	creamy	<a href="spotify:genre:edm_dance">Dance music</a> for the heart <3	168	987567
37i9dQZF1DX5Q27plkaOQ3	creamy	All <a href="spotify:genre:bass">wobble</a>	86	935070
37i9dQZF1DX3FNkD0kDpDV	Dance Party	Chris Lake & Armand Van Helden come together to showcase what house music looks like when they put their heads together. The latest and greatest from the scene (in their opinion) and some classics of their own.	56	654672
37i9dQZF1DX3XjJqhm9fqD	Dance Party	Celebrating Haitian music. Cover: Naïka.	71	48150
37i9dQZF1DX7nGw3hwYw03	Deep House Relax	Essential Alesso originals and remixes.	41	123096
37i9dQZF1DWZUWZIwpqsT3	Deep House Relax	Press play and let's dance with the biggest Brazilian DJ!	47	1403471
37i9dQZF1DWW3gTjSx5Dc7	Power Hour	This is the essential Axwell Λ Ingrosso.	22	100390
37i9dQZF1DWY1XXKzcWtF3	Power Hour	NYC DJ, The Loft founder, and Dance legend David Mancuso passed on Nov 14 2016. This is a Tommie Sunshine, Spotify & Billboard Dance tribute. Without Mancuso there would be no Rave scene, no House Music, no festival culture. His legacy is vast; these are merely some of the classics born of The Loft.	205	29843
37i9dQZF1DX87JE1B72J6C	Emotron	The essential deadmau5 originals and remixes.	54	155970
37i9dQZF1DX94qaYRnkufr	Emotron	The essential tracks by the Dutch <a href="spotify:artist:60d24wfXkVzDSfLS6hyCjZ">DJ and producer</a>.	70	820441
37i9dQZF1DZ06evO3j5vfW	Hardstyle Bangers	This is Nicky Romero. The essential tracks, all in one playlist.	50	65175
37i9dQZF1DX2kvBlhyEkb6	Hardstyle Bangers	A thorough introduction to the world of Tchaikovsky, including: dancing swans, brave nutcrackers, enchanted snow maidens and several exploding cannons.	63	138644
37i9dQZF1DX37CqNpZIOOZ	This Is Richard Strauss	Discover the music of Richard Strauss.	58	9944
37i9dQZF1DX5ZPNS2aXuN4	This Is Richard Strauss	An introduction to the music of Bartok, Hungary's greatest composer.	60	8374
37i9dQZF1DX1tT8vLysk8r	This Is Bartók	An introduction to the best-loved works of Russian composer Sergei Prokofiev.	60	15991
37i9dQZF1DWSQeR9oTmnyj	This Is Bartók	An introduction to <a href="spotify:user:spotify:playlist:37i9dQZF1DWXXW8bE6k5tq">John Williams'</a> soundtracks.	58	147170
37i9dQZF1DX5M3XSYkKZCl	This Is Prokofiev	A 50-track introduction to Luciano Pavarotti, whose brilliant sound set the standard for operatic singing in the modern era. Including highlights from the operas of Verdi, Puccini, Donizetti and many more, plus Italian folk songs and pop crossover.	50	98164
37i9dQZF1DXaQQM8OxjxoC	This Is Prokofiev	Discover the music of Brahms.	59	48878
37i9dQZF1DX6Hln2awUHXX	This Is: John Williams	An introduction to the thoroughly dramatic world of Richard Wagner, brimming with ancient legends and timeless love stories.	60	52450
37i9dQZF1DWVTUSNpU0pKJ	This Is: John Williams	Explore the surreal world of Satie, from serene Gymnopédies, to gothic dances and poetic songs.	60	67901
37i9dQZF1DWZhMbcax6CUd	This Is: Pavarotti	Explore the great works of Maurice Ravel.	69	26382
37i9dQZF1DX30FdZ6jR5Gl	This Is: Pavarotti	An introduction to American composer Philip Glass (b. 1937), whose hypnotic and powerful music has become part of our cultural soundtrack.	47	61568
37i9dQZF1DWTBNkoD4HmYd	This Is Brahms	A selection of highlights from Vivaldi's celebrated concertos and choral works, proving there's way more to this red-headed baroque legend than just The Four Seasons.	60	189475
37i9dQZF1DX93wmY669mVj	This Is Brahms	Explore the music of Franz Liszt.	60	43381
37i9dQZF1DWXnRw5VvmZDb	This Is Wagner	Inspired by the arts and his own vivid imagination, Debussy defined a new era of musical impressionism. Discover his dreamlike preludes, suites and songs right here.	61	112241
37i9dQZF1DWY3VlkBR4Jhb	This Is Wagner	The essential works of Franz Schubert.	60	60772
37i9dQZF1DWSL7w3snV7Gw	This Is Satie	50 great tracks from 20th century's most celebrated piano genius. Beyond his iconic Bach recordings, you will also find his unique interpretation of Beethoven, Scriabin, Strauss, and many other composers from renaissance to modern age.	50	22832
