mean,max,fraction
0.005095287825502538,0.2,2
0.010446832839116257,0.14705882352941177,3
0.012818324424817876,0.13513513513513514,4
0.009762789562880216,0.175,5
0.014205176502289849,0.21428571428571427,6
0.015179354168911882,0.16279069767441862,7
0.02083066114114872,0.25,8
0.01678827430756467,0.20454545454545456,9
0.023466142355446175,0.29213483146067415,10
